Train Noise Type,Train Noise Level,Test Noise Type,Test Noise Level,LSD,Mean Polar ACC Error (Degrees),Mean Polar RMS Error (Degrees),Mean Quadrant Error (%),
Brown,20,Pink,10,4.052,-0.240,36.896,9.013,
Brown,20,Pink,0,,,,,
Brown,20,Pink,-10,,,,,
Brown,20,Pink,-20,,,,,
Brown,20,Brown,30,3.913,-0.010,36.831,8.597,
Brown,20,Brown,20,3.917,0.109,36.749,8.628,
Brown,20,Brown,10,3.969,0.607,36.623,8.623,
Brown,20,Brown,0,5.181,-3.639,36.969,11.085,
Brown,20,Brown,-10,NaN,NaN,NaN,NaN,
Brown,20,Brown,-20,NaN,NaN,NaN,NaN,
Brown,20,White,30,3.920,-0.100,36.838,8.629,
Brown,20,White,20,4.051,-0.449,36.907,8.781,
Brown,20,White,10,4.423,-2.457,37.406,11.028,
Brown,20,White,0,,,,,
Brown,20,White,-10,,,,,
Brown,20,White,-20,,,,,
Brown,10,Pink,30,,,,,
Brown,10,Pink,20,4.437,-0.272,37.535,12.832,
Brown,10,Pink,10,4.436,-0.179,37.510,12.821,
Brown,10,Pink,0,5.549,-4.471,38.435,18.696,
Brown,10,Pink,-10,,,,,
Brown,10,Pink,-20,,,,,
Brown,10,Brown,30,4.164,0.993,37.200,11.466,
Brown,10,Brown,20,4.169,0.985,37.212,11.537,
Brown,10,Brown,10,4.239,0.782,37.285,11.784,
Brown,10,Brown,0,4.527,1.500,37.316,12.761,
Brown,10,Brown,-10,6.644,-7.949,39.187,20.511,
Brown,10,Brown,-20,NaN,NaN,NaN,NaN,
Brown,10,White,30,,,,,
Brown,10,White,20,4.297,0.068,37.431,12.164,
Brown,10,White,10,5.038,-2.860,38.154,15.888,
Brown,10,White,0,9.005,-25.747,41.434,33.201,
Brown,10,White,-10,,,,,
Brown,10,White,-20,,,,,
Brown,0,Pink,30,,,,,
Brown,0,Pink,20,,,,,
Brown,0,Pink,10,6.350,-6.677,38.844,19.411,
Brown,0,Pink,0,10.998,-20.349,39.887,25.022,
Brown,0,Pink,-10,NaN,NaN,NaN,NaN,
Brown,0,Pink,-20,,,,,
Brown,0,Brown,30,5.807,-4.586,38.431,17.601,
Brown,0,Brown,20,5.816,-4.694,38.417,17.589,
Brown,0,Brown,10,5.910,-4.931,38.535,17.837,
Brown,0,Brown,0,6.448,-6.099,38.767,18.709,
Brown,0,Brown,-10,17.755,-23.616,41.047,26.618,
Brown,0,Brown,-20,NaN,NaN,NaN,NaN,
Brown,0,White,30,,,,,
Brown,0,White,20,,,,,
Brown,0,White,10,7.647,-10.209,38.790,20.891,
Brown,0,White,0,NaN,NaN,NaN,NaN,
Brown,0,White,-10,NaN,NaN,NaN,NaN,
Brown,0,White,-20,,,,,
Brown,-10,Pink,30,,,,,
Brown,-10,Pink,20,,,,,
Brown,-10,Pink,10,,,,,
Brown,-10,Pink,0,,,,,
Brown,-10,Pink,-10,10.891,-31.635,42.913,35.409,
Brown,-10,Pink,-20,,,,,
Brown,-10,Brown,30,8.779,-16.642,41.918,26.908,
Brown,-10,Brown,20,8.788,-16.719,41.914,26.908,
Brown,-10,Brown,10,8.891,-17.082,41.938,27.106,
Brown,-10,Brown,0,9.386,-19.950,42.129,28.804,
Brown,-10,Brown,-10,10.364,-29.184,42.734,33.040,
Brown,-10,Brown,-20,11.147,-33.303,43.011,35.892,
Brown,-10,White,30,,,,,
Brown,-10,White,20,,,,,
Brown,-10,White,10,,,,,
Brown,-10,White,0,,,,,
Brown,-10,White,-10,11.797,-38.765,43.122,37.568,
Brown,-10,White,-20,,,,,
Brown,-20,Pink,30,,,,,
Brown,-20,Pink,20,,,,,
Brown,-20,Pink,10,,,,,
Brown,-20,Pink,0,,,,,
Brown,-20,Pink,-10,,,,,
Brown,-20,Pink,-20,17.425,-66.107,46.850,44.680,
